protein1	protein2	cost
CITED2	LHX2	2.0179916622386007
CITED2	FBXL5	7.275972411660082
TFAP2A	EP300	53.002073817580275
TFAP2A	RB1	36.27327795374476
TFAP2A	XRCC6	30.946996887803362
TFAP2A	XRCC5	29.0308563843519
TFAP2A	RELA	36.44219680587618
TFAP2A	TP53	70.38882933657392
TFAP2A	EPS15	19.81807675249991
TFAP2A	CSNK2B	25.01415977729729
TFAP2A	MYC	41.67324638611279
TFAP2A	NPM1	34.27534171118383
TFAP2A	APC	18.046585417386797
TFAP2A	SP1	32.56681694609233
TFAP2A	YY1	25.768524482769788
TFAP2A	EPN1	12.884262241384894
TFAP2A	DEK	6.118343904606947
TFAP2A	EPAS1	15.576313518116969
TFAP2A	PRKAA2	8.959583128564338
TFAP2A	KCTD1	4.589956800712473
EP300	BCL3	64.6519730976606
EP300	BRCA1	166.05836237707624
EP300	CTNNB1	195.0868671829321
EP300	RB1	150.55802438117445
EP300	TSG101	84.90962411709245
EP300	CDKN1A	86.6947647126637
EP300	CDK2	151.9846167196858
EP300	CLTC	97.26110757648496
EP300	SMAD3	155.56121468924417
EP300	SMAD4	112.95851643632078
EP300	CCNB1	82.82636970640492
EP300	ARNT	74.04142559289055
EP300	ZBTB16	91.43169718889209
EP300	PCNA	119.49386401723376
EP300	EGR1	37.389621640467816
EP300	CREBBP	150.28861473312753
EP300	ESR1	116.11233112830219
EP300	UBE2I	179.2179110690922
EP300	MEF2D	35.24973477087082
EP300	TCF3	79.87373296489451
EP300	SREBF1	75.62957450659948
EP300	NFKB1	88.22289979541327
EP300	LEF1	55.496935314099154
EP300	RELA	151.25914901319896
EP300	PPP1R13L	46.81119440972476
EP300	FEN1	34.55918722907652
EP300	ETS1	44.49653956313887
EP300	AKT1	174.2924198026058
EP300	ETS2	44.49653956313887
EP300	REL	64.6519730976606
EP300	PAX5	19.435655589677555
EP300	MAPK1	136.74594156601688
EP300	AR	176.7458214811269
EP300	MAF	36.33127241641817
EP300	HBP1	41.853577758597666
EP300	TAL1	64.31271184347084
EP300	SOX9	36.33127241641817
EP300	NFYB	44.1196837567159
EP300	E2F1	81.97285171219865
EP300	TP53	292.1600605528995
EP300	GATA1	61.15464419776555
EP300	VHL	144.56620672585672
EP300	GABPA	37.47486690181629
EP300	NCOA3	81.70676865708143
EP300	STAT5A	67.91498756617564
EP300	MAPK14	109.99838979638093
EP300	SUB1	37.44420292039431
EP300	PIAS1	85.3289529812621
EP300	STAT1	100.5967381414655
EP300	NEUROD1	36.33127241641817
EP300	MYBL2	62.92760972886197
EP300	ESR2	83.78167214895626
EP300	PPARG	114.88957112793086
EP300	HSPA8	160.42643746895823
EP300	PROX1	15.85203113155503
EP300	TP63	72.66254483283635
EP300	NCOA1	92.86230101700191
EP300	HDAC3	141.48997805559404
EP300	SMAD7	94.97229031954137
EP300	PRMT1	104.8793495481033
EP300	PAX6	44.49653956313887
EP300	RARA	89.86235276363671
EP300	ATF4	59.77058306295002
EP300	NCOA2	62.21406081061088
EP300	TGS1	32.168825186889016
EP300	GPS2	52.02588616566257
EP300	MAGEA11	78.48451859134138
EP300	DDIT3	62.91405007533761
EP300	TADA3	62.284976451253506
EP300	UBE2D1	138.34536368538642
EP300	SATB1	55.2650000080947
EP300	ASH2L	78.48451859134138
EP300	UBC	230.93943649911668
EP300	HIF1A	161.1187139641278
EP300	DDX17	58.419209120589635
EP300	EWSR1	89.11925801006201
EP300	ARRB1	102.76035637914022
EP300	RORA	32.46199538857533
EP300	ILF2	85.20438635820304
EP300	CALCOCO1	19.345873604656646
EP300	MAX	88.99307912627773
EP300	JUNB	59.328719417518485
EP300	FOSL1	24.928840389429375
EP300	JMY	18.294471796733497
EP300	ZBTB8A	40.58402466340147
EP300	ZBTB48	29.664359708759243
EP300	MAPT	62.42181056004058
EP300	MYC	172.97145445316232
EP300	PARP1	112.64597662612962
EP300	JUN	139.9265048934874
EP300	FOS	84.9975774645062
EP300	POLB	44.49653956313887
EP300	HDAC1	242.8132489679139
EP300	HDAC6	120.49719876144786
EP300	SIRT2	41.951739819241325
EP300	HNF1A	46.903471005104166
EP300	CDC20	110.54383334124826
EP300	NCOA6	81.12668310486096
EP300	CTBP1	112.95851643632078
EP300	NR3C1	66.06212917839385
EP300	ATR	85.20438635820304
EP300	RAD50	62.92760972886197
EP300	POLR2A	155.56121468924417
EP300	FHL2	44.194029598524054
EP300	JUND	49.1927754000454
EP300	NBN	73.06707875953597
EP300	CDK1	99.52738352713818
EP300	SP1	135.17376692670317
EP300	HIST3H3	126.72620022704272
EP300	CREB1	61.4404713597687
